feature,importance
engagement_score,0.14705959851555112
return_rate_estimate,0.11761394680216557
click_purchase_ratio,0.10265223881542357
engagement_depth,0.066013146704249
category_diversity,0.062475575868472744
unique_products,0.059904918490832994
category_concentration,0.051613962448807706
price_sensitivity,0.04943306729390039
engagement_consistency,0.04647490184806969
category_loyalty,0.04513199902809315
price_preference_strength,0.04133670103870383
avg_price,0.031184153913735566
num_categories,0.02628722838039839
interaction_frequency,0.025131248690653408
total_clicks,0.024534913174318548
avg_views,0.023712254197691192
total_visit_time,0.023440808324564674
time_per_click,0.019219971360666208
visit_time_per_product,0.01894368366427972
time_efficiency,0.017835681439422685
